lid,loan_amount,currency,sector
654872,375.0,USD,Reta
654698,400.0,PKR,Food
654591,450.0,PKR,Food
654723,950.0,VND,Reta
654662,625.0,XOF,Food
654452,250.0,KES,Agri
654883,300.0,USD,Hous
654481,425.0,KES,Food
654766,500.0,USD,Serv
654523,400.0,PHP,Food
654441,225.0,PHP,Agri
654437,350.0,PHP,Reta
654642,700.0,KES,Food
654721,925.0,KES,Trns
654413,400.0,USD,Food
654579,625.0,JOD,Educ
654729,725.0,VND,Reta
654639,250.0,KES,Reta
654724,275.0,UGX,Agri
654631,325.0,XAF,Serv
654495,475.0,PKR,Reta
